Cost,ChargingPoints,PayAtLocation,MembershipRequired,AccessKeyRequired,IsOperational,Latitude,Longitude,Operator,ConnectionType,PowerOutput,CurrentType,ChargingPoints_Flag,LastStatusUpdate,StatusDescription,DisabledAccess,24HourAccess,SecurityCameras,EmergencyButton,LightingLevel,PopulationDensity,Nearby_Cafes,Distance_To_Nearest_Cafes,Nearby_Restaurants,Distance_To_Nearest_Restaurants,Nearby_FastFood,Distance_To_Nearest_FastFood,Nearby_ShoppingCenters,Distance_To_Nearest_ShoppingCenters,Nearby_ConvenienceStores,Distance_To_Nearest_ConvenienceStores,Nearby_Supermarkets,Distance_To_Nearest_Supermarkets,Nearby_Pharmacies,Distance_To_Nearest_Pharmacies,Nearby_Banks,Distance_To_Nearest_Banks,Nearby_Gyms,Distance_To_Nearest_Gyms,Nearby_Parks,Distance_To_Nearest_Parks,PublicTransportStops,DistanceToHospital,DistanceToPoliceStation,DistanceToHighway,PeakHours,AvgChargingDuration,DailyUtilizationRate,LastMaintenanceDate,UptimePercentage,MaintenanceFrequencyDays,FaultsLast30Days,AvgRepairTimeHours,PaymentMethods,BasePrice,PeakPriceMultiplier,MinimumChargingFee,MembershipDiscountAvailable,MembershipDiscountPercentage,RenewableEnergyPercentage,CO2OffsetKg,SolarPanelsInstalled,BatteryStorageKWh
Unknown,1,Unknown,Unknown,Unknown,Unknown,-31.9362523,115.8715309,Unknown,Unknown,,Unknown,1,2024-12-01 10:38:04.604678,Scheduled Maintenance,True,False,True,True,Low,5042.38068673615,7,557,3,416,5,886,1,137,3,196,2,425,2,519,2,940,1,492,1,607,2,3.5480449989226903,2.5567802238902404,1.347884100687201,"07:00-09:00, 17:00-19:00",49.43404881200483,0.6839236525953639,2023-01-01 00:00:00.000000000,95.7131132998516,50,0,17.283157171297066,Credit Card,0.3417326025990718,1.4400060618240471,1.6278209248380873,True,18.497319140736252,91.57076162470841,5.47079568322569,False,0.0
Unknown,1,Unknown,Unknown,Unknown,Unknown,-32.9358797,151.6438477,ChargePoint,Type 1 (J1772),,Unknown,1,2024-12-01 10:38:04.604678,Scheduled Maintenance,False,True,False,True,High,6693.452572128153,8,701,3,649,1,165,1,677,4,758,1,364,1,717,2,547,1,752,3,208,1,1.3901696283437481,2.7754996723556804,2.1046397058380073,"07:00-09:00, 17:00-19:00",59.14125800451479,0.5512877966702732,2023-01-01 05:06:31.578947368,92.71980778134201,84,2,43.89730647598181,Mobile App,0.3401447467946012,1.350517080148227,1.428865003643198,True,18.70436376895385,37.09949008294525,5.1796555854067865,False,0.0
Unknown,2,Unknown,Unknown,Unknown,Unknown,-41.218297,146.4125226,Unknown,Type 2 (Socket Only),,Unknown,0,2024-12-02 10:38:04.604678,Scheduled Maintenance,True,True,True,True,High,5037.229230421283,4,553,9,219,3,393,2,426,4,927,0,605,3,341,3,792,1,741,1,729,2,1.2003615220346266,3.4500069315022746,1.1595950333541225,"07:00-09:00, 17:00-19:00",56.98255227977256,0.3774675367687505,2023-01-01 10:13:03.157894736,98.17863179071934,81,0,43.79722422439179,RFID Card,0.3265571551142785,1.3657209222550448,0.6752487236963844,False,0.0,83.84438734899916,3.5036850768259686,False,0.0
Unknown,8,Unknown,Unknown,Unknown,Unknown,-34.7554799,149.7209942,Tesla Supercharger,Unknown,,Unknown,0,2024-12-03 10:38:04.604678,Under Maintenance,True,True,True,True,High,3872.4811624996155,5,893,3,744,4,129,0,116,1,927,2,150,1,480,0,946,1,131,2,158,1,2.2429345327308634,0.5965062824401689,0.7616357496302575,"07:00-09:00, 17:00-19:00",55.041141165418225,0.5737876998176943,2023-01-01 15:19:34.736842105,98.68974980133231,38,1,46.98001957889909,Mobile App,0.41720276952619406,1.2035793817043536,1.0166140617746862,True,14.081551095371779,48.73057584909066,4.877121574827853,False,0.0
Unknown,4,Unknown,Unknown,Unknown,Unknown,-37.8872284,145.0824905,"Tesla, Inc.",Unknown,,Unknown,0,2024-12-02 10:38:04.604678,Temporary Offline,True,True,True,True,Low,7427.215109469463,2,249,8,589,3,289,0,462,2,820,2,637,2,373,3,637,2,510,1,776,3,4.973485444739547,1.7252653713181414,2.036115165376566,"07:00-09:00, 17:00-19:00",45.39738299018781,0.405618363507245,2023-01-01 20:26:06.315789473,92.59272387144381,32,0,25.536469291834898,Credit Card,0.3225462130835424,1.386719880958902,0.15314545151428516,True,15.30811775661628,68.27293534192168,2.2774775777815934,False,0.0
Unknown,2,Unknown,Unknown,Unknown,Unknown,-38.0270897,145.2116252,Unknown,Unknown,,Unknown,0,2024-12-01 10:38:04.604678,Scheduled Maintenance,True,True,True,True,Medium,7924.706120891251,8,144,10,230,2,380,1,304,4,132,2,764,3,971,0,231,0,513,3,123,2,3.8376419237116335,1.2062055973936014,1.6077316053512127,"08:00-10:00, 16:00-18:00",76.58257080978139,0.5377226654287812,2023-01-02 01:32:37.894736842,97.31499726198483,44,0,29.519089499380957,Mobile App,0.36348235217832414,1.4521714890376765,1.1595884723528587,True,18.717398862200696,49.68558424110578,3.3831282510744582,False,0.0
Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.5753648,143.8664155,Unknown,Unknown,,Unknown,1,2024-12-01 10:38:04.604678,Under Maintenance,True,True,True,True,High,7888.983825699638,2,251,6,282,5,678,2,516,3,153,0,689,1,794,0,370,0,837,1,361,3,4.682307846396859,1.5342550667457386,2.0635554675392402,"07:00-09:00, 16:00-18:00",73.28678119320642,0.5603919661832298,2023-01-02 06:39:09.473684210,96.78753064060241,50,1,13.663263553537405,Credit Card,0.3916604807082859,1.4556332148509832,0.6329163306398953,True,14.016634327984548,59.092553027957386,5.294013318406852,False,0.0
Unknown,2,Unknown,Unknown,Unknown,Unknown,-37.8042881,144.9719796,Museums Victoria,Unknown,,Unknown,0,2024-11-30 10:38:04.604678,Temporary Offline,True,True,True,True,Medium,4812.348714970714,2,284,9,648,4,707,2,201,2,497,1,842,2,714,3,304,1,856,2,188,4,0.5353743213068203,0.8022044612487813,1.307986339707779,"08:00-10:00, 16:00-18:00",39.27563157348725,0.4377271386869137,2023-01-02 11:45:41.052631578,92.30996921997478,80,1,42.8708536536422,RFID Card,0.3451114991120113,1.21365943892496,1.1759171507896546,True,16.911189847278735,35.726817241954045,2.4907085629010615,True,83.85771579057759
Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.9054453,145.133609,Unknown,Unknown,,Unknown,1,2024-11-30 10:38:04.604678,Scheduled Maintenance,True,True,True,True,High,4841.820858563732,4,734,8,837,1,591,1,383,1,696,2,981,1,792,0,482,0,799,1,540,3,3.861884276546644,0.47166051055499714,1.522731050319177,"08:00-10:00, 17:00-19:00",85.67518180227052,0.44780906950030364,2023-01-02 16:52:12.631578947,98.20498208331705,74,0,19.42799772516916,Mobile App,0.40250207632826657,1.3987414826789468,0.5268920919828832,False,0.0,63.20952515477999,4.011056274990113,True,139.67175539644768
Unknown,1,Unknown,Unknown,Unknown,Unknown,-37.6507196,145.5029836,Unknown,Unknown,,Unknown,1,2024-11-29 10:38:04.604678,Temporary Offline,True,False,True,True,Low,3722.841037016888,3,379,6,271,1,622,1,224,2,436,2,521,2,181,1,794,0,548,3,645,3,3.9052047352870654,1.5135612403172776,2.484549522227621,"07:00-09:00, 16:00-18:00",52.19876009223241,0.3656651866846499,2023-01-02 21:58:44.210526315,94.88225470837664,46,2,14.648629446608126,RFID Card,0.37059799559677253,1.472912775633715,1.7224049894725428,True,14.565376928977047,79.67754827533201,2.811621770699503,True,182.90773652249692
